Month,Longitude,Latitude,Outcome type
6/1/2015,-0.219399,51.493053,Investigation complete; no suspect identified
6/1/2015,-0.243511,51.505484,Investigation complete; no suspect identified
6/1/2015,-0.224574,51.492223,Investigation complete; no suspect identified
6/1/2015,-0.218878,51.50308,Investigation complete; no suspect identified
6/1/2015,-0.214402,51.498903,Investigation complete; no suspect identified
6/1/2015,-0.242437,51.502699,Suspect charged
6/1/2015,-0.221402,51.50784,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Offender given a drugs possession warning
6/1/2015,,,Suspect charged
6/1/2015,,,Suspect charged
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Local resolution
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Suspect charged
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Suspect charged
6/1/2015,,,Offender given a caution
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Local resolution
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Offender given a caution
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,-0.384113,51.523521,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Suspect charged
6/1/2015,0.001288,51.571759,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Offender given a caution
6/1/2015,,,Suspect charged
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Suspect charged
6/1/2015,,,Offender given a drugs possession warning
6/1/2015,,,Offender given a drugs possession warning
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
